Link,Name,Image,Category,Subcategory,Color,Current Price,Original Price,Description,Details,Tag,Status,Remarks,Timestamp
https://singapore.coach.com/women/bags/ci189-lhwpu.html,SMALL WRISTLET IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/ci189_lhwpu_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CI189 LHWPU,SGD 195.00,No Original Price Available,"Crafted of our Signature canvas and refined leather, this wristlet is perfectly sized for cards, cash and a phone. Finished with our Signature hardware, wear it on your wrist or clip it inside a larger Coach bag.","Signature coated canvas and refined calf leather Two credit card slots Zip-top closure, fabric lining Detachable wrist strap 19cm (L) x 12cm (H) x 1.5cm (W) Fits an iPhone or Android",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cn423-b4ez.html,NORTH TOTE IN COLORBLOCK,https://s7d2.scene7.com/is/image/Coach/cn423_b4ez_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CN423 B4/EZ,SGD 750.00,No Original Price Available,"Going places? Take our practical-yet-polished North along for the ride. Crafted of supple colorblock double-faced lightly grained leather with an ultra-luxe soft feel, this snap-closure tote is finished with an inside zip pocket and our polished Signature hardware. It’s a minimalist, sophisticated style that’s great for work (and play).",Double face grain leather Inside zip pocket Snap closure Handles with 25.5cm drop 33cm (L) x 37cm (H) x 12cm (W),,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cc438-b4nq4.html,CARY CROSSBODY IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/cc438_b4nq4_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CC438 B4NQ4,SGD 595.00,No Original Price Available,"Deliberately slouchy with a sophisticated ease, our Cary is a study in intentional laidback style. Crafted of our Signature canvas and refined leather, this streamlined crossbody has an interior pocket to keep you organized. (Because even your most easygoing self should feel put-together.)","Signature coated canvas and refined calf leather Inside snap pocket Zip-top closure, fabric lining Detachable handle with 19cm drop Detachable strap with 54.5cm drop for shoulder or crossbody wear 28cm (L) x 18.5cm (H) x 11.5cm (W)",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cd750-v5bhp.html,FIELD TOTE 22 WITH HORSE AND CARRIAGE,https://s7d2.scene7.com/is/image/Coach/cd750_v5bhp_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CD750 V5BHP,No Current Price Available,No Original Price Available,"From busy weekdays to fun-filled weekends, our Field Tote 22 has space to hold everything you need with an inside zip pocket to organize small essentials. This versatile carryall is crafted of refined leather featuring our iconic Horse and Carriage motif in velvety suede flocking and contrast suede side panels. Attach the detachable strap to wear on the shoulder or crossbody.","Refined calf leather and suede Inside zip pocket Snap closure, leather lining Handles with 10cm drop Detachable strap with 62cm drop for shoulder or crossbody wear Four protective feet at base 22cm (L) x 21cm (H) x 12cm (W)",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cu080-lhni9-lh-midnight-navy-multi.html,TABBY SHOULDER BAG 20 WITH QUILTING AND TIE-DYE-LH/Midnight Navy Multi,https://s7d2.scene7.com/is/image/Coach/cu080_lhni9_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CU080 LHNI9,SGD 950.00,No Original Price Available,"A modern take on an archival 1970s Coach design, our structured Tabby shoulder bag is crafted of quilted plush, ultra-soft nappa leather that’s specially tie-dyed with our sophisticated spin on the classic pattern. Slightly smaller than the 26, the petite 20 features a long leather chain strap to wear crossbody or double up for a shorter, dressier look. It’s finished with our Signature hardware for an iconic touch.","Nappa leather, Inside magnetic snap pocket, Pushlock closure, fabric lining, Outside slip pocket, Chain strap with 54.5cm drop for shoulder or crossbody wear, 20cm (L) x 11cm (H) x 7cm (W), Due to the special dye technique, there may be variations in shading, color and the pattern of the stripes (a groovy sign of character). Please also note that this dye is sensitive to UV light and should not be left in the direct sun.",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cr679-b4in.html,MIRA SHOULDER BAG WITH QUILTING,https://s7d2.scene7.com/is/image/Coach/cr679_b4in_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CR679 B4/IN,SGD 895.00,No Original Price Available,No Description Available,"Denim and nappa leather Inside snap pocket Zip-top closure, fabric lining Detachable chain strap with 24cm drop Detachable strap with 54.5cm drop for shoulder or crossbody wear 23.5cm (L) x 16cm (H) x 6.5cm (W)",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/men/shoes/cu362-opi.html,RUNNER SNEAKER,https://s7d2.scene7.com/is/image/Coach/cu362_opi_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CU362 OPI,SGD 395.00,SGD 395.00,"A cool, classic sneaker style for on-the-run days, this elevated running shoe is crafted in a mix of suede, nylon and leather detailed with our puffy Signature. It’s finished with a comfortable EVA sole for all-day comfort and ease.","Nylon, suede and leather upper Fabric lining and footbed EVA outsole Lace-up closure",,,In stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cq766-mwo1u.html,PENN SHOULDER BAG IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/cq766_mwo1u_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CQ766 MWO1U,SGD 525.00,No Original Price Available,No Description Available,"Signature coated canvas and refined calf leather Three credit card slots Zip-top closure, leather lining Detachable strap with 30.5cm drop 21cm (L) x 12cm (H) x 3cm (W)",,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/women/bags/cj811-b4bhp.html,REESE TOTE 28,https://s7d2.scene7.com/is/image/Coach/cj811_b4na_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-bags,,CJ811 B4BHP,No Current Price Available,No Original Price Available,"A sophisticated go-everywhere tote, the versatile Reese features expandable side gussets that fan out when you need a little extra space. Embroidered with our name and iconic Horse and Carriage motif, the mid-size 28 is crafted of buttery soft glovetanned leather and sturdy cotton canvas. It’s finished with luggage top handles, an inside pocket to organize small essentials and a detachable chain-detailed leather strap for hands-free wear. Who says you can’t have (and carry) it all?",Canvas and glovetanned leather Inside zip pocket Magnetic snap closure Handles with 7cm drop Detachable straps with 29cm drop Four protective feet at base 27.5cm (L) x 21.5cm (H) x 15.5cm (W),,,Out of stock,2024-09-04 19:36:49
https://singapore.coach.com/men/shoes/ct281-blk.html,BUCKLE STRAP SANDAL IN SIGNATURE JACQUARD,https://s7d2.scene7.com/is/image/Coach/ct281_blk_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CT281 BLK,SGD 350.00,SGD 350.00,"An easy, slip-on design, this double buckle strap sandal is a sporty laidback style. Crafted of Signature jacquard and smooth leather, it’s finished with a comfortable molded footbed and a lightweight rubber crepe outsole for added traction.","Signature jacquard and leather upper Man-made leather lining, Signature jacquard footbed Rubber outsole Slip on",,,In stock,2024-09-04 19:36:50
